team,name,position,matches,goals,assists,status
Platense,Raul Lozano,D,0,0,0,Injured
Platense,Ciro Rius,F,0,0,0,Injured
Estudiantes La Plata,Pablo Piatti,F,0,0,0,Injured
Estudiantes La Plata,Javier Altamirano ,M,0,0,0,Injured
Estudiantes La Plata,Matias Contrera ,M,0,0,0,Injured
Gimnasia La Plata,Lucas Castro,M,0,0,0,Injured
Gimnasia La Plata,Gonzalo Gonzalez,M,0,0,0,Injured
Gimnasia La Plata,Matias Abaldo ,M,0,0,0,Injured
Gimnasia La Plata,Ivo Mammini ,F,0,0,0,Injured
Gimnasia La Plata,Pablo De Blasis,M,0,0,0,Injured
Godoy Cruz,Nicolas Fernandez,M,0,0,0,Injured
Godoy Cruz,Elias Pereyra,D,0,0,0,Injured
Godoy Cruz,Pier Barrios,D,0,0,0,Injured
Godoy Cruz,Nahuel Ulariaga,F,0,0,0,Injured
Huracan,Sebastián Ramirez,M,0,0,0,Injured
Huracan,Lucas Carrizo,M,0,0,0,Injured
Independiente,Santiago Montiel,M,0,0,0,Injured
Independiente,Adrian Sporle,D,0,0,0,Injured
Independiente,Joaquin Laso,D,0,0,0,Suspended
Independiente,Lucas Gonzalez,M,0,0,0,Injured
Independiente,R. David Martinez,M,0,0,0,Injured
Independiente,Federico Mancuello,M,0,0,0,Injured
Ind. Rivadavia,Federico Moreno,M,0,0,0,Injured
Instituto Atletico,Jeremias Lazaro ,M,0,0,0,Injured
Instituto Atletico,Jonas Acevedo ,M,0,0,0,Injured
Instituto Atletico,Fernando Alarcon ,D,0,0,0,Injured
Lanus,Walter Bou,F,0,0,0,Injured
Lanus,Nicolas Morgantini,D,0,0,0,Injured
Lanus,Ramiro Carrera ,M,0,0,0,Injured
Lanus,Leandro Diaz ,F,0,0,0,Injured
Lanus,Nery Dominguez,M,0,0,0,Injured
Newells,Jeronimo Cacciabue,M,0,0,0,Injured
Newells,Brian Calderara ,D,0,0,0,Injured
Racing,Agustin Almendra,M,0,0,0,Injured
River Plate,Claudio Echeverri ,M,0,0,0,Injured
River Plate,Agustin Sant'Anna ,M,0,0,0,Injured
River Plate,German Pezzella ,D,0,0,0,Injured
River Plate,Marcos Acuna ,D,0,0,0,Injured
River Plate,Enzo Diaz,D,0,0,0,Injured
Rosario Central,Jaminton Campaz,M,0,0,0,Injured
Rosario Central,Gasper Duarte,M,0,0,0,Injured
Rosario Central,Carlos Quintana,D,0,0,0,Injured
Rosario Central,Facundo Mallo,M,0,0,0,Injured
Rosario Central,Ignacio Malcorra,M,0,0,0,Injured
Rosario Central,Axel Werner,G,0,0,0,Injured
San Lorenzo,manuel Insaurralde ,M,0,0,0,Injured
San Lorenzo,Gaston Hernandez,D,0,0,0,Injured
San Lorenzo,Nahuel Arias,M,0,0,0,Injured
San Lorenzo,Nahuel Bustos,F,0,0,0,Suspended
Sarmiento,Manuel Monaco,M,0,0,0,Injured
Sarmiento,Emiliano Mendez,M,0,0,0,Injured
Talleres Cordoba,Matias Esquivel,F,0,0,0,Injured
Talleres Cordoba,Valentin Depietri,F,0,0,0,Injured
Tigre,Brian leizza ,M,0,0,0,Injured
Tigre,Florian Monzon,F,0,0,0,Injured
Tigre,Angelo Marchese ,M,0,0,0,Injured
Tigre,Ijiel Protti,F,0,0,0,Injured
Union, Nicolas Orsini,F,0,0,0,Injured
Union, Bruno Pitton,D,0,0,0,Injured
Velez Sarsfield,Alejo Sarco,M,0,0,0,Injured
Velez Sarsfield,Ricardo Centurion,F,0,0,0,Injured
Velez Sarsfield,Yeison Gordillo,M,0,0,0,Injured
team,name,position,matches,goals,assists,status
Celtic,Odin Thiago Holm,F,0,0,0,Injured
Dinamo Zagreb,Josip Misic,M,0,0,0,Injured
Dinamo Zagreb,Petar Sucic,M,0,0,0,Injured
Dinamo Zagreb,Juan Cordoba,M,0,0,0,Injured
Brugge,Bjorn Meijer,D,0,0,0,Injured

